
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek_Offset.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -300.0 -600.0 -900.0 -1200.0 -1500.0 -1800.0 -2100.0 -2400.0 -2700.0 -3000.0 -3300.0 -3600.0 -3900.0 -4200.0 -4500.0 -4800.0 -5100.0 -5400.0 -5700.0 -6000.0 -6300.0 -6600.0 -6900.0 -7200.0 -7500.0 -7800.0 -8100.0 -8400.0 -8700.0 -9000.0 -9300.0 -9600.0 -9900.0 -10200.0 -10500.0 -10800.0 -11100.0 -11400.0 -11700.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
12.29	0.0	-300.0	-407.5884237566049	-561.6705665412007	-879.3429966325507	-1160.173389666907	-1430.7491794154773	-1720.103444838452	-1999.8016922562697	-2333.480154635101	-2632.7139384870857	-2948.8680408686632	-3234.7144560344695	-3499.400585843609	-3837.0361428087062	-4131.355382348106	-4458.9807596381615	-4715.575888594913	-5046.906210913283	-5339.501887647755	-5654.973604078967	-5973.37693826163	-6252.040349339987	-6557.700198183481	-6841.522402909788	-7112.872162077721	-7409.566359010345	-7695.383241036568	-8074.753426329031	-8331.519740481068	-8568.199107110073	-8884.000216084174	-9219.789454716576	-9509.390394038976	-9807.946287048286	-10341.477384173486	-10787.162857589956	-11099.686326664254	-11400.0	-11700.0
12.3	0.0	-300.0	-411.6389210687105	-559.9786936394822	-831.3024884916131	-1188.895835172647	-1452.4935201559176	-1754.1787840404704	-2046.012879758493	-2335.1289891471265	-2629.3593725924384	-2932.3476190935376	-3243.871492029652	-3535.4359089794493	-3805.8929592435215	-4122.783170129232	-4463.104364341842	-4734.7390357440245	-5046.189837680661	-5333.439950953464	-5648.752774534723	-5952.098343547732	-6261.193894171704	-6557.765245327131	-6818.95964917915	-7154.42526647895	-7429.947543191099	-7723.472499280257	-8029.249211408415	-8352.150307145477	-8546.588843502142	-8855.844748963107	-9197.040518841994	-9512.731324162887	-9827.337176431156	-10308.596125651296	-10791.631412098202	-11098.615020436338	-11400.0	-11700.0
12.31	0.0	-300.0	-378.99160207089153	-547.8932310168711	-852.1515862867489	-1139.5840357702468	-1441.4304110928815	-1741.4255925445377	-2051.6533668338207	-2302.0891030125845	-2637.739699702306	-2948.751562654253	-3210.0606373209403	-3501.815818933725	-3822.6859411913047	-4127.184184232028	-4484.984142391737	-4761.997139335582	-5081.634836577981	-5413.685774473445	-5632.9673341303205	-5954.547202320071	-6218.404583734495	-6531.1715650891165	-6847.42818929692	-7098.327230670977	-7407.101508809521	-7699.0950252509165	-7996.005079350949	-8337.993037924296	-8579.095429231511	-8859.63475149135	-9175.989912385081	-9505.567626896118	-9832.765616932054	-10303.697118999136	-10793.011734870932	-11099.218449772894	-11400.0	-11700.0
12.32	0.0	-300.0	-382.5570131561956	-510.14066920940064	-842.0878024337198	-1122.6991097075452	-1406.333231607085	-1722.3800059394382	-2024.163370706288	-2371.454560886673	-2625.9730638131155	-2925.461482981241	-3219.6610472773436	-3553.781096409636	-3834.4377647290376	-4119.243693454029	-4418.112619534908	-4736.314907642686	-5089.482031079607	-5369.7824744416475	-5656.4790359867575	-6045.005195449064	-6283.998351821645	-6521.897022347563	-6811.878569493342	-7110.972657048067	-7401.958312969497	-7695.806418707516	-8040.533818400184	-8321.003633892906	-8572.989511684516	-8857.13398677898	-9165.443427869712	-9496.986800917308	-9791.150546780365	-10313.949310146405	-10787.353020439836	-11099.348618790415	-11400.0	-11700.0
12.33	0.0	-300.0	-386.49265057727973	-548.3181425512068	-819.8755932979286	-1131.5482280791248	-1428.8104530194485	-1763.497527664285	-2035.7173502301007	-2324.8027780965035	-2627.262503577242	-2930.1408883881963	-3255.6811400317315	-3513.1839225888366	-3816.1745768976634	-4085.238910144024	-4450.369196135104	-4739.577124079404	-5037.572673772358	-5370.895071421174	-5679.131303435388	-5938.981056179606	-6253.085713399839	-6542.127386144129	-6812.886526745135	-7160.618356021445	-7435.095656197632	-7730.384778871413	-8002.396862097147	-8291.746807028938	-8515.923973756528	-8877.145377496503	-9186.918264823134	-9517.994834655217	-9833.91213311682	-10325.056995652933	-10786.273117564315	-11098.48995393123	-11400.0	-11700.0
12.34	0.0	-300.0	-380.70469498913553	-540.209810735878	-848.2319332680877	-1166.9815986327808	-1452.3548367514416	-1748.6286842713916	-2046.3476526481174	-2345.7599322930455	-2605.0249388166385	-2894.869814645722	-3205.0615624237153	-3485.632479259003	-3825.8834891161814	-4112.987282553785	-4450.694155604375	-4739.6011178838935	-5058.661729036574	-5338.215653138885	-5642.021983986834	-5969.324569116298	-6236.576693207125	-6521.454160752035	-6837.352082585372	-7115.9607924089305	-7423.3443327854675	-7723.533859343958	-8016.746797122399	-8298.136157396235	-8575.890435745441	-8875.51637086963	-9185.216315148056	-9487.00142530788	-9773.681960609778	-10321.529882560393	-10789.593933935234	-11099.385091644237	-11400.0	-11700.0
12.35	0.0	-300.0	-409.6121384855305	-566.8950495128869	-906.3895772511182	-1163.3729859689988	-1431.6736085011576	-1704.0530530573387	-2052.9529043627067	-2339.629888972706	-2636.301015242703	-2917.6076960225714	-3211.834592475018	-3526.247464922116	-3836.100945381732	-4101.580601220212	-4415.749855104576	-4724.895904305282	-5058.307209053525	-5372.097478955396	-5677.868760927903	-5957.340249363198	-6244.128753895162	-6573.405276506798	-6826.7930637205	-7116.021093243036	-7421.642687108864	-7731.074274345792	-8007.772536351245	-8309.277336089772	-8599.032264841973	-8887.51617111077	-9180.560404216409	-9490.811732263714	-9817.60002857345	-10334.529204462484	-10792.928428539364	-11099.968051110305	-11400.0	-11700.0
12.36	0.0	-300.0	-376.8429820651437	-542.0927413360374	-841.9740750512769	-1143.359541810835	-1444.7531949206036	-1718.2976818216302	-2045.2964831848622	-2337.673422041426	-2585.060082484709	-2922.4950980623667	-3226.2791619854765	-3524.6168524795385	-3817.4139276032056	-4173.786006844251	-4455.28378560309	-4746.234978396789	-5012.879494668192	-5341.444262208473	-5653.782577874017	-5958.480292478468	-6252.981498988122	-6538.797977934522	-6845.719596337943	-7105.35598073556	-7448.778770116716	-7736.6947916573845	-8028.136971260891	-8321.335463556514	-8583.338561829178	-8839.127400856873	-9171.504704771143	-9489.055016148253	-9803.260004943613	-10304.345158772776	-10793.449924900817	-11099.673363701515	-11400.0	-11700.0
12.37	0.0	-300.0	-386.99794481881094	-513.5839161497922	-883.1826539393564	-1191.3092866499612	-1423.85717170437	-1716.8190199477244	-2049.0518462137397	-2343.7252282936506	-2648.0523965824946	-2898.1001696011726	-3201.8044557134776	-3474.3387018888557	-3832.2905115264107	-4123.001563659129	-4449.701533740656	-4776.968420751468	-5064.369239618896	-5372.005856418167	-5672.0342248217885	-5977.912909020962	-6287.783752671409	-6572.15729734714	-6809.667156056227	-7134.29590299751	-7425.706660126262	-7693.11693395222	-8010.650287980302	-8317.722938357349	-8536.771743685958	-8841.806483422271	-9185.130486494185	-9486.052652148537	-9796.199194641002	-10301.99104997761	-10789.217664142543	-11099.532545515254	-11400.0	-11700.0
12.38	0.0	-300.0	-358.63418385717114	-552.8958855595176	-824.1670352181494	-1164.8676458682612	-1434.512212527683	-1745.3322778567735	-2006.8432983417258	-2269.516489641122	-2623.6078711020787	-2933.730861791613	-3241.457513316478	-3523.5704711133553	-3808.956581794468	-4096.4999638603	-4446.86390311479	-4729.667154224834	-5028.865285678633	-5356.478806480153	-5657.9918951500185	-5941.206172905463	-6273.297762341346	-6556.26707025774	-6857.787862206926	-7130.863679858301	-7408.168964920571	-7673.405997900034	-8029.00987500204	-8309.094344449872	-8563.74511594572	-8876.461768597588	-9184.26051611235	-9520.841671698112	-9783.00906917549	-10307.867495025845	-10789.700101640326	-11097.382149313922	-11400.0	-11700.0
12.39	0.0	-300.0	-351.77189093001607	-522.5992646662854	-788.2399305864908	-1144.6276164036317	-1426.7757155515023	-1749.4745939133206	-2030.826088310326	-2301.989627844025	-2642.7227997353725	-2926.446197853243	-3213.771532480018	-3517.9085484064353	-3841.150702439381	-4119.608040029073	-4422.504681981985	-4783.158822421354	-5061.435197610654	-5332.569266065114	-5631.744697723961	-5956.0772288966855	-6255.064668843303	-6549.110621263587	-6841.4689015472395	-7139.588503635676	-7421.244272257929	-7706.043625281093	-8015.704521773178	-8245.951263267536	-8554.97509341702	-8873.604161503234	-9179.35467514555	-9525.008950636773	-9812.014061021215	-10321.317026300741	-10791.968422844613	-11099.104588285287	-11400.0	-11700.0
12.4	0.0	-300.0	-357.6692696035174	-512.4281558209013	-823.9581572252966	-1147.667314567876	-1406.2171938475321	-1670.6122866841529	-2036.7494037739539	-2292.829418542715	-2644.992731261869	-2927.9511897269476	-3180.337196479652	-3484.022026217326	-3803.483923018364	-4137.003725980733	-4448.380511749681	-4759.214774874921	-5069.2294122881085	-5349.717874243069	-5676.383035910776	-5974.833391401178	-6275.441152019519	-6558.953920199132	-6797.294063531572	-7117.955361921115	-7445.282326077424	-7705.592541003377	-8013.333311507406	-8265.477561751466	-8526.354041615721	-8868.176668819886	-9133.276181681857	-9519.184758717694	-9796.505869474078	-10302.498690477325	-10785.13807940557	-11099.60816803046	-11400.0	-11700.0
12.41	0.0	-300.0	-368.4143107955319	-522.7732216511461	-822.6212839537533	-1157.258562320911	-1417.1467887507429	-1756.9221526670567	-2071.3402362370516	-2333.549855715311	-2621.2913576678884	-2906.485621424325	-3262.205581368278	-3527.4580784551113	-3848.430269907108	-4168.0257938433715	-4451.135786356328	-4778.969137132783	-5081.104899303331	-5343.473868261451	-5629.363762539446	-5934.232248700384	-6240.5988853324425	-6549.470447416176	-6875.787927904142	-7124.695555615809	-7408.456609421473	-7724.950678307036	-8017.107352558602	-8262.72773004604	-8560.241553058155	-8859.8946650303	-9198.654914161183	-9505.049000976916	-9827.579549746972	-10287.156491940952	-10781.486753675827	-11099.778589985872	-11400.0	-11700.0
12.42	0.0	-300.0	-343.70675929736416	-542.2253761155791	-853.9998292972125	-1122.7436054997677	-1437.5801225960083	-1700.4553098799488	-2033.0604129869048	-2337.7153676558987	-2636.879871739703	-2891.9202987746703	-3219.950642912079	-3544.8654242017565	-3796.7374455289205	-4130.574337677588	-4396.165648982439	-4771.38579188776	-5036.511323141022	-5381.980158264322	-5665.628321796868	-5923.80536173894	-6214.502657652939	-6572.812457355996	-6837.459145464768	-7160.855219646833	-7410.905286718294	-7697.072099879674	-8032.815188597209	-8244.726112339795	-8527.887871635081	-8893.793263722388	-9196.443175103683	-9487.854481064001	-9781.100184266648	-10311.022413191045	-10782.37302651176	-11098.62303244154	-11400.0	-11700.0
12.43	0.0	-300.0	-353.7057591210724	-528.3628250568129	-829.8379621080886	-1160.1361578714482	-1465.7463984831568	-1771.4539815469122	-2043.837123199693	-2313.5927131737694	-2665.7512226936137	-2941.9445676930723	-3190.0959045177096	-3516.8555352588064	-3840.5583165176504	-4157.476334186945	-4429.307212555032	-4761.967706518637	-5006.344850203838	-5349.881231526815	-5630.238577479358	-5923.335619056883	-6224.550670344232	-6518.53031978281	-6777.461040667375	-7144.0251045827945	-7397.165761592873	-7722.099730319512	-8012.323061779197	-8251.95579139834	-8531.307975467598	-8852.228153071237	-9188.42955108342	-9514.450707598005	-9779.342146397561	-10272.894015482161	-10780.395805675136	-11098.992639088072	-11400.0	-11700.0
12.44	0.0	-300.0	-330.0731032678326	-546.344654273921	-898.1633181122548	-1144.3969693520799	-1448.747757040466	-1741.965753042288	-2068.977226500788	-2317.457327282534	-2605.5314096526945	-2929.2095055217824	-3199.588974669659	-3507.0059665662798	-3825.7312126679594	-4106.599975828799	-4442.733352426635	-4753.105051677155	-5002.278851741641	-5366.365362821532	-5648.059084671227	-5906.048327862718	-6236.020781422075	-6507.766849288033	-6847.139098989509	-7151.055276647854	-7426.118711674582	-7707.414961486232	-8028.66526153281	-8254.075432041736	-8570.176108833839	-8904.126586852859	-9191.61200862139	-9425.483356803827	-9818.503330376554	-10314.877201470897	-10786.658607050602	-11099.799957145953	-11400.0	-11700.0
12.45	0.0	-300.0	-313.37582977899854	-530.8917593057758	-861.721785294158	-1147.553505736124	-1428.823872904376	-1717.7096312624876	-2048.594117011886	-2279.625197759301	-2643.371547668914	-2925.8392374854957	-3172.979493376466	-3534.5964995468785	-3796.484135719583	-4091.5232809212584	-4425.128788948201	-4734.705064679931	-5046.835708443395	-5337.12814135344	-5614.094871687117	-5916.031532750087	-6257.069466876144	-6519.945905851784	-6847.223559216409	-7125.682199605188	-7381.376157517952	-7735.287033486655	-8008.7480721399	-8255.408902883397	-8537.381585063315	-8871.600210241177	-9213.17417390222	-9470.378250081785	-9785.865117400579	-10268.819372286436	-10784.25095538383	-11100.0	-11400.0	-11700.0
12.46	0.0	-300.0	-340.23662209261454	-473.86515942889486	-847.6796621660675	-1136.4971468954775	-1419.5500144803373	-1725.5338793527794	-1978.6992819332158	-2335.7502215257637	-2587.002558416474	-2945.9137494602705	-3189.448223948092	-3503.2014423915616	-3824.752528968301	-4150.999803931604	-4476.661799246979	-4751.057098858829	-5069.955400241096	-5370.858297124147	-5637.628979431876	-5906.166146075497	-6229.722921707705	-6506.434248219453	-6792.23451142877	-7115.585588271342	-7391.9168321550915	-7706.44965044794	-7984.072565924545	-8229.988250576873	-8579.719396402103	-8885.103350379053	-9182.909972060812	-9517.107734954829	-9813.784506690356	-10258.013791195332	-10783.939761600823	-11097.653983977823	-11400.0	-11700.0
12.47	0.0	-300.0	-316.56825476051597	-536.3825423573026	-859.698795117182	-1127.2838657202615	-1456.1935352982434	-1713.1875515233291	-2039.387068552749	-2354.64684021343	-2620.916180018501	-2928.7539814203533	-3207.645066367299	-3527.803572681866	-3827.389687291635	-4114.7072879537045	-4492.169042532103	-4764.663694380681	-5021.4269597841085	-5341.896110890484	-5614.3647845519845	-5897.31460591712	-6224.3744593552055	-6524.3060501243	-6819.902068776762	-7064.154662998634	-7409.2746610349495	-7670.215484257703	-7981.508326974985	-8267.09277560847	-8525.827178799971	-8904.555657417888	-9164.245804244189	-9471.853246776196	-9746.118845563515	-10254.892558444213	-10791.516476915549	-11096.238526640202	-11400.0	-11700.0
12.48	0.0	-300.0	-352.7097251113605	-551.316587602566	-806.6383020086364	-1139.8717901532293	-1430.1820907496713	-1709.3003607359678	-2027.604572538822	-2357.1150957961127	-2618.839701507107	-2953.5065201557177	-3193.1772110761044	-3470.3611562495553	-3790.827351764164	-4140.021225446613	-4435.177283053905	-4769.972880514259	-5033.419591189154	-5339.998689022206	-5637.660126504324	-5975.558484446553	-6222.184625185318	-6518.415199715336	-6836.189212184779	-7111.941602287025	-7395.858333534065	-7706.388041626754	-7996.160075397046	-8239.822960668924	-8574.75962810334	-8865.101797490175	-9180.79890197687	-9510.670799036177	-9769.49888348138	-10250.047830186977	-10782.90531332839	-11097.949749483456	-11400.0	-11700.0
12.49	0.0	-300.0	-319.2814530091455	-527.3907540934481	-826.4183320957357	-1134.1119212916578	-1455.4152468981422	-1721.7714841150414	-2031.719221505159	-2337.391787930458	-2620.8955852472905	-2919.419442950013	-3220.7839126525405	-3506.0565492915666	-3794.189179491855	-4109.340714278615	-4446.184654762953	-4756.766648108788	-5044.885498551285	-5351.417486262094	-5643.533792187825	-5938.606177775521	-6253.464217176198	-6532.216316582244	-6821.478780874961	-7092.893971055697	-7399.99084281579	-7677.230574043553	-7999.073331132166	-8228.279288047817	-8551.641929020374	-8888.13917319697	-9167.292800900677	-9524.86581451844	-9819.578869533165	-10260.117536432474	-10784.30385975656	-11097.343136268186	-11400.0	-11700.0
12.5	0.0	-300.0	-319.7271537335626	-528.6156255806266	-817.7478547211508	-1135.6954432297923	-1434.0448658818214	-1727.1921003700513	-2023.3466594182119	-2294.3855580954496	-2615.731845844688	-2878.378935248052	-3211.519748362136	-3533.085498446855	-3806.9484644032823	-4111.42451088561	-4461.448550024927	-4718.469192207588	-5044.559554169797	-5345.17232233802	-5636.5630182832065	-5939.850220689084	-6258.665041102252	-6558.798602700463	-6791.94949826393	-7086.550852851837	-7405.136768328366	-7693.945720067312	-7976.312230291512	-8255.84217782186	-8554.900609864957	-8873.41130791948	-9168.938818167528	-9507.559900439725	-9750.79571304996	-10261.925485317566	-10782.81070026705	-11099.656351276393	-11400.0	-11700.0
12.51	0.0	-300.0	-309.0572816504551	-486.5527877379157	-804.2465855611201	-1105.8843115815507	-1432.9688106096423	-1731.9417845602507	-2038.7827486094116	-2341.1521764464114	-2569.2066478240413	-2860.5158853645376	-3206.099097009543	-3522.136292571726	-3770.471198937909	-4093.5998848776044	-4425.492285724779	-4737.086360833112	-5051.749955746773	-5321.5946438251185	-5654.835032085452	-5926.440304118505	-6246.536295408329	-6549.539832314863	-6819.352735157615	-7102.9279153024245	-7395.892214690562	-7680.791697781704	-7984.891905214036	-8251.463975265162	-8511.472385691302	-8874.510290232387	-9182.909593258271	-9489.555484841385	-9813.30058414972	-10279.82610315742	-10782.542180864324	-11099.862628805753	-11400.0	-11700.0
12.52	0.0	-300.0	-275.9875488936288	-473.9356820649181	-848.2235685461546	-1145.3427572026753	-1431.551391400002	-1753.0214159363281	-2030.9137455553473	-2304.812784907169	-2610.646177012971	-2878.885867584226	-3156.612965612651	-3478.6879873507187	-3802.3832997803775	-4099.9189503352945	-4412.0707696174995	-4752.13393475872	-5065.06767201609	-5351.346064236097	-5647.442992532751	-5945.430661509242	-6217.400233945666	-6505.411812596927	-6814.04107850557	-7117.224888618349	-7404.503566210966	-7688.973545410829	-7988.338808264451	-8175.635121568748	-8534.17699486084	-8862.07193026213	-9164.314730484944	-9474.391245513914	-9773.005213804423	-10266.401585307336	-10771.004362810158	-11098.683027196485	-11400.0	-11700.0
12.53	0.0	-300.0	-284.2760161803533	-437.03680118243045	-834.6664040737202	-1144.2847333545944	-1421.675257740386	-1744.848284773876	-2012.0175130593516	-2327.641416974428	-2583.290295538165	-2870.886771368892	-3207.234525217341	-3492.8440542247786	-3816.9841462347126	-4105.232446050014	-4430.3098010038575	-4718.879159432004	-5046.338651706722	-5321.575385986189	-5650.681047200175	-5932.326117436039	-6243.632066606141	-6548.751392107361	-6812.3734770681	-7078.137760362673	-7394.650416066532	-7697.7031330082955	-7968.715490376865	-8238.751909537874	-8521.635516893293	-8876.660880814095	-9179.406889850577	-9445.99844174813	-9787.660189973723	-10254.0047831421	-10779.996436451545	-11099.92383181823	-11400.0	-11700.0
12.54	0.0	-300.0	-298.18191901945846	-466.26744372383223	-845.2455712440026	-1149.018039867787	-1431.33832628534	-1708.1551378491558	-2032.5188282001425	-2302.4837504717093	-2590.0623139877334	-2916.57324772947	-3189.834594373741	-3493.7868949954236	-3777.565310152534	-4095.793956087764	-4432.443153258564	-4742.370377522541	-5084.047424102146	-5370.276461247804	-5633.512593843148	-5925.123799496593	-6216.7066275487805	-6534.207545726823	-6871.553200862691	-7150.220221766556	-7396.01660698728	-7710.852114001116	-7993.372437829894	-8246.291445328512	-8573.244490083616	-8881.683589834567	-9205.517344770966	-9494.803909581364	-9784.83559304053	-10243.769793010712	-10775.138939253085	-11098.090451598824	-11400.0	-11700.0
12.55	0.0	-300.0	-303.09259402198524	-509.3880563415152	-841.0584151038519	-1101.084924842171	-1426.219835957138	-1714.4236466663328	-2035.6609833485581	-2312.3312620581737	-2617.0858193955773	-2883.9413966537927	-3199.1030037479277	-3474.304829481552	-3770.037796242729	-4128.062711557055	-4442.300286777957	-4724.183840895554	-5027.3195973244065	-5320.556510582197	-5652.690266722035	-5972.5502443692685	-6227.371097919317	-6537.174053311094	-6854.400319027819	-7100.889909900989	-7412.882206678895	-7701.765716270179	-7958.378971238193	-8206.338881134277	-8576.737935685356	-8917.065214831178	-9197.669492431904	-9477.502131556652	-9767.038652734493	-10239.7016436671	-10781.616047126257	-11099.942368480197	-11400.0	-11700.0
12.56	0.0	-300.0	-254.56807650709186	-487.02544617173027	-809.4163991578681	-1096.0210238523355	-1429.8776381311654	-1727.7072639753724	-2027.597432419277	-2290.712025958832	-2579.144677552814	-2873.118395335941	-3187.904975308792	-3462.0631570000487	-3816.7570533026214	-4132.801995753689	-4424.186150455787	-4713.140849901081	-5024.819964147533	-5364.844322444235	-5599.799664023586	-5928.647586937287	-6245.054047704036	-6525.1608570478975	-6842.858389390252	-7112.02531564719	-7367.6871247622485	-7681.364369536316	-7969.734732436814	-8238.982126246272	-8562.872297780938	-8901.414342115195	-9215.254734540706	-9491.508219754323	-9740.298389026344	-10175.393866838394	-10774.802710426455	-11095.935492830155	-11400.0	-11700.0
12.57	0.0	-300.0	-272.83386525028305	-459.75569272256655	-812.8609536065688	-1144.2875948353972	-1447.4381928544558	-1708.590285949914	-2002.1442466048952	-2300.0681905596616	-2611.7456483765063	-2934.1543987119903	-3196.1985870705876	-3504.1582289975718	-3782.080525890856	-4141.343403831296	-4426.618495802351	-4720.791515955714	-5011.720698093455	-5347.202220377544	-5659.072279394771	-5918.394287126888	-6216.306416534621	-6495.982505576035	-6821.818974551776	-7084.766559377695	-7387.717901935556	-7685.015285441627	-7987.618259082772	-8279.099287561756	-8573.851077863554	-8889.874361496317	-9216.32418973613	-9524.514983604933	-9726.299573025664	-10213.300059110215	-10774.533914924672	-11097.789208992821	-11400.0	-11700.0
12.58	0.0	-300.0	-296.1922968210841	-469.7036764512536	-787.8037866682376	-1125.754447680073	-1457.2795510731544	-1736.863133002887	-2015.905242920367	-2352.1805084173943	-2609.050238674189	-2904.246041279227	-3206.613595112182	-3460.72916986877	-3771.8155602302	-4107.9673896530185	-4431.914823645508	-4697.914102194836	-5027.529747307272	-5335.511831953042	-5616.459019971334	-5988.363938960084	-6244.426196075742	-6541.52811308976	-6780.993159850472	-7083.464931848374	-7424.437544976301	-7663.572581780734	-7977.75183937387	-8262.241386759533	-8583.76830822587	-8886.269393462186	-9206.059957749902	-9486.816618669298	-9736.992210422435	-10217.079877989581	-10777.82863650741	-11099.655038658946	-11400.0	-11700.0
12.59	0.0	-300.0	-349.21501833597404	-514.3493039215673	-828.6910953624467	-1099.2776663138134	-1422.0842817263476	-1727.385470756783	-2020.6702185408692	-2316.2102244046328	-2599.9834502576787	-2905.129191392423	-3199.9696330394586	-3487.050759790982	-3792.623598840873	-4100.852569045471	-4402.006611824496	-4686.685461431365	-5020.00479711468	-5345.433604093652	-5649.726307483908	-5919.523328134153	-6202.3778010937385	-6539.936186475875	-6791.571088177916	-7085.7808673014415	-7362.844868428851	-7669.814144868301	-7962.120147239887	-8250.899742150796	-8597.188009910393	-8885.414518296231	-9190.947742561104	-9485.672975020778	-9788.629061981985	-10241.803534859484	-10790.136629799965	-11099.926519875775	-11400.0	-11700.0
12.6	0.0	-300.0	-304.9091053198867	-501.3797539811238	-807.403391970182	-1136.9809867199388	-1435.0614613090158	-1734.9577097649387	-1990.042919244905	-2294.572443593652	-2611.4848981325285	-2888.034493772041	-3198.437442520029	-3481.1035725617808	-3822.570108107771	-4077.579873618154	-4380.400185467588	-4718.034562736168	-5026.287117981812	-5329.257328360564	-5648.208862813803	-5945.566107618211	-6221.955538647026	-6546.872306690396	-6806.261309851843	-7081.705320928238	-7404.772690406922	-7668.782701267339	-7979.50454013036	-8237.11807669574	-8562.745282489786	-8876.898108710964	-9199.744390494447	-9456.909562296592	-9750.58015234103	-10216.009196956733	-10777.314754649096	-11098.486035788463	-11400.0	-11700.0
