
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483	Si0006_EDCs_0.453	Si0006_EDCs_0.422	Si0006_EDCs_0.392	Si0006_EDCs_0.362	Si0006_EDCs_0.332	Si0006_EDCs_0.302	Si0006_EDCs_0.272	Si0006_EDCs_0.242	Si0006_EDCs_0.212	Si0006_EDCs_0.182	Si0006_EDCs_0.151	Si0006_EDCs_0.121	Si0006_EDCs_0.091	Si0006_EDCs_0.061	Si0006_EDCs_0.031	Si0006_EDCs_0.001	Si0006_EDCs_-0.029	Si0006_EDCs_-0.059	Si0006_EDCs_-0.089	Si0006_EDCs_-0.12	Si0006_EDCs_-0.15	Si0006_EDCs_-0.18	Si0006_EDCs_-0.21	Si0006_EDCs_-0.24	Si0006_EDCs_-0.27	Si0006_EDCs_-0.3	Si0006_EDCs_-0.33	Si0006_EDCs_-0.361	Si0006_EDCs_-0.391	Si0006_EDCs_-0.421	Si0006_EDCs_-0.451	Si0006_EDCs_-0.481	Si0006_EDCs_-0.511	Si0006_EDCs_-0.541	Si0006_EDCs_-0.571	Si0006_EDCs_-0.601	Si0006_EDCs_-0.632	Si0006_EDCs_-0.662	Si0006_EDCs_-0.692
12.35	0.0	0.0	190.38786151446945	333.1049504871131	293.6104227488818	336.6270140310011	368.3263914988424	395.9469469426614	347.0470956372934	360.37011102729423	363.6989847572969	382.39230397742875	388.16540752498224	373.7525350778841	363.8990546182681	398.419398779788	384.2501448954235	375.1040956947184	341.6927909464751	327.902521044604	322.1312390720971	342.6597506368017	355.87124610483835	326.59472349320185	373.2069362794998	383.97890675696334	378.3573128911358	368.9257256542074	392.22746364875496	390.72266391022805	400.9677351580265	412.4838288892302	419.43959578359164	409.1882677362872	382.3999714265509	165.4707955375162	7.0715714606358695	0.03194888969528991	0.0	0.0
12.36	0.0	0.0	223.15701793485633	357.9072586639626	358.025924948723	356.6404581891649	355.2468050793965	381.70231817836964	354.70351681513785	362.32657795857415	414.9399175152911	377.50490193763335	373.7208380145236	375.3831475204616	382.5860723967944	326.2139931557498	344.7162143969103	353.76502160321087	387.12050533180803	358.5557377915262	346.2174221259828	341.51970752153153	347.01850101187773	361.2020220654778	354.2804036620574	394.64401926444083	351.2212298832839	363.3052083426159	371.86302873910915	378.66453644348616	416.66143817082184	460.872599143128	428.4952952288565	410.9449838517463	396.73999505638744	195.65484122722407	6.550075099183102	0.3266362984847419	0.0	0.0
12.37	0.0	0.0	213.00205518118906	386.4160838502078	316.81734606064356	308.6907133500388	376.14282829563	383.1809800522756	350.9481537862601	356.27477170634916	351.9476034175053	401.8998303988273	398.1955442865223	425.66129811114433	367.7094884735893	376.998436340871	350.29846625934454	323.0315792485315	335.6307603811035	327.99414358183253	327.96577517821146	322.0870909790384	312.2162473285903	327.8427026528599	390.3328439437727	365.7040970024899	374.2933398737374	406.88306604777966	389.3497120196979	382.2770616426521	463.22825631404214	458.1935165777284	414.8695135058145	413.94734785146346	403.8008053589992	198.00895002238957	10.782335857456212	0.46745448474592366	0.0	0.0
12.38	0.0	0.0	241.36581614282886	347.1041144404823	375.8329647818506	335.1323541317389	365.48778747231694	354.6677221432264	393.15670165827424	430.4835103588781	376.39212889792134	366.2691382083873	358.54248668352204	376.4295288866446	391.0434182055319	403.50003613970006	353.1360968852098	370.33284577516554	371.134714321367	343.5211935198465	342.00810484998107	358.79382709453716	326.7022376586542	343.73292974226047	342.212137793074	369.1363201416991	391.83103507942866	426.5940020999665	370.99012499796066	390.90565555012836	436.2548840542812	423.5382314024125	415.73948388764904	379.15832830188765	416.99093082450963	192.13250497415495	10.299898359673296	2.6178506860775137	0.0	0.0
12.39	0.0	0.0	248.2281090699839	377.4007353337146	411.7600694135092	355.3723835963683	373.22428444849766	350.5254060866793	369.17391168967396	398.01037215597484	357.2772002646273	373.55380214675694	386.22846751998196	382.0914515935649	358.8492975606191	380.39195997092685	377.49531801801487	316.84117757864584	338.56480238934665	367.4307339348859	368.2553022760392	343.9227711033144	344.9353311566979	350.8893787364134	358.5310984527608	360.4114963643243	378.7557277420712	393.9563747189071	384.29547822682133	454.04873673246357	445.02490658297876	426.39583849676626	420.64532485445034	374.99104936322755	387.9859389787852	178.6829736992587	8.031577155387613	0.8954117147140066	0.0	0.0
12.4	0.0	0.0	242.33073039648258	387.5718441790987	376.04184277470335	352.33268543212387	393.7828061524679	429.3877133158471	363.2505962260462	407.1705814572852	355.0072687381313	372.0488102730526	419.6628035203481	415.97797378267364	396.5160769816361	362.99627401926716	351.61948825031885	340.78522512507914	330.77058771189144	350.28212575693135	323.6169640892242	325.16660859882154	324.5588479804811	341.0460798008677	402.7059364684286	382.0446380788858	354.71767392257624	394.4074589966231	386.66668849259423	434.52243824853315	473.6459583842791	431.8233311801135	466.72381831814346	380.8152412823058	403.4941305259221	197.5013095226741	14.86192059443134	0.3918319695398069	0.0	0.0
12.41	0.0	0.0	231.5856892044681	377.2267783488539	377.3787160462467	342.74143767908896	382.853211249257	343.0778473329433	328.6597637629484	366.4501442846891	378.7086423321116	393.5143785756751	337.7944186317219	372.5419215448886	351.56973009289203	331.97420615662844	348.8642136436717	321.0308628672178	318.89510069666886	356.52613173854945	370.6362374605539	365.76775129961584	359.4011146675578	350.5295525838238	324.2120720958582	375.30444438419084	391.54339057852684	375.04932169296416	382.89264744139865	437.27226995396154	439.758446941845	440.1053349697003	401.34508583881654	394.950999023084	372.4204502530284	212.84350805904833	18.513246324172922	0.22141001412765682	0.0	0.0
12.42	0.0	0.0	256.29324070263584	357.77462388442086	346.00017070278744	377.25639450023226	362.41987740399173	399.54469012005126	366.9395870130953	362.28463234410134	363.12012826029695	408.0797012253296	380.04935708792135	355.13457579824365	403.2625544710794	369.425662322412	403.83435101756135	328.6142081122397	363.488676858978	318.0198417356781	334.3716782031321	376.1946382610608	385.49734234706074	327.1875426440033	362.5408545352323	339.14478035316705	389.0947132817064	402.9279001203256	367.18481140279084	455.27388766020607	472.1121283649188	406.2067362776117	403.55682489631727	412.1455189359994	418.8998157333517	188.9775868089537	17.626973488240328	1.376967558461605	0.0	0.0
12.43	0.0	0.0	246.2942408789276	371.6371749431872	370.1620378919114	339.86384212855194	334.25360151684316	328.5460184530878	356.16287680030706	386.4072868262307	334.2487773063862	358.05543230692786	409.90409548229036	383.1444647411937	359.4416834823494	342.52366581305546	370.69278744496853	338.03229348136273	393.6551497961619	350.1187684731853	369.7614225206419	376.66438094311695	375.44932965576845	381.46968021719044	422.5389593326254	355.97489541720574	402.8342384071262	377.900269680488	387.67693822080344	448.04420860166	468.69202453240257	447.7718469287625	411.57044891657927	385.5492924019952	420.6578536024387	227.1059845178393	19.60419432486318	1.0073609119286209	0.0	0.0
12.44	0.0	0.0	269.9268967321674	353.65534572607896	301.83668188774516	355.6030306479202	351.25224295953404	358.034246957712	331.0227734992118	382.54267271746573	394.46859034730545	370.7904944782178	400.41102533034115	392.99403343372035	374.26878733204063	393.40002417120076	357.2666475733646	346.89494832284527	397.721148258359	333.63463717846867	351.94091532877366	393.9516721372824	363.97921857792477	392.2331507119675	352.8609010104913	348.9447233521458	373.88128832541736	392.58503851376855	371.3347384671895	445.92456795826325	429.82389116616196	395.8734131471412	408.38799137860923	474.5166431961729	381.4966696234467	185.12279852910243	13.341392949397454	0.20004285404632338	0.0	0.0
12.45	0.0	0.0	286.62417022100146	369.10824069422415	338.27821470584195	352.44649426387616	371.17612709562405	382.2903687375125	351.40588298811423	420.37480224069884	356.62845233108607	374.1607625145041	427.02050662353395	365.4035004531213	403.51586428041696	408.4767190787418	374.8712110517989	365.2949353200697	353.1642915566057	362.8718586465602	385.9051283128829	383.9684672499133	342.9305331238556	380.05409414821594	352.7764407835914	374.31780039481225	418.6238424820478	364.7129665133449	391.25192786010047	444.59109711660244	462.6184149366848	428.3997897588237	386.8258260977793	429.6217499182153	414.13488259942073	231.1806277135642	15.749044616169787	0.0	0.0	0.0
12.46	0.0	0.0	259.76337790738546	426.13484057110514	352.3203378339325	363.50285310452244	380.44998551966273	374.4661206472207	421.30071806678427	364.24977847423656	412.99744158352587	354.08625053972935	410.55177605190806	396.79855760843833	375.24747103169926	349.0001960683959	323.33820075302117	348.9429011411708	330.0445997589038	329.1417028758529	362.37102056812387	393.83385392450316	370.2770782922949	393.5657517805464	407.7654885712303	384.41441172865785	408.08316784490813	393.5503495520595	415.9274340754549	470.01174942312696	420.28060359789794	414.8966496209473	417.09002793918893	382.8922650451711	386.2154933096448	241.9862088046682	16.060238399176757	2.346016022176484	0.0	0.0
12.47	0.0	0.0	283.43174523948403	363.61745764269745	340.30120488281796	372.7161342797386	343.8064647017565	386.81244847667097	360.61293144725096	345.35315978657	379.08381998149866	371.2460185796466	392.35493363270103	372.1964273181337	372.61031270836503	385.29271204629555	307.8309574678968	335.3363056193192	378.5730402158916	358.1038891095157	385.6352154480159	402.68539408287984	375.6255406447948	375.6939498757006	380.09793122323885	435.8453370013659	390.72533896505075	429.784515742297	418.4916730250149	432.90722439153006	474.17282120002864	395.44434258211163	435.75419575581117	428.1467532238038	453.8811544364859	245.10744155578624	8.483523084450221	3.7614733597975443	0.0	0.0
12.48	0.0	0.0	247.29027488863946	348.68341239743404	393.36169799136366	360.1282098467707	369.8179092503286	390.6996392640321	372.39542746117803	342.88490420388746	381.1602984928931	346.49347984428243	406.8227889238955	429.63884375044455	409.1726482358359	359.97877455338676	364.82271694609494	330.02711948574125	366.58040881084634	360.00131097779405	362.3398734956765	324.44151555344683	377.8153748146828	381.58480028466414	363.810787815221	388.0583977129756	404.1416664659346	393.611958373246	403.8399246029538	460.17703933107583	425.2403718966601	434.8982025098252	419.2010980231295	389.32920096382315	430.5011165186198	249.952169813022	17.094686671608684	2.0502505165442018	0.0	0.0
12.49	0.0	0.0	280.7185469908545	372.60924590655185	373.5816679042643	365.88807870834216	344.58475310185776	378.2285158849586	368.28077849484094	362.608212069542	379.10441475270954	380.580557049987	379.21608734745934	393.94345070843326	405.810820508145	390.65928572138455	353.81534523704744	343.2333518912116	355.11450144871503	348.58251373790574	356.46620781217496	361.3938222244786	346.53578282380204	367.7836834177565	378.5212191250391	407.10602894430275	400.00915718421015	422.769425956447	400.92666886783434	471.7207119521823	448.35807097962567	411.8608268030288	432.7071990993223	375.1341854815595	380.42113046683426	239.8824635675258	15.696140243441166	2.6568637318137913	0.0	0.0
12.5	0.0	0.0	280.2728462664374	371.3843744193735	382.2521452788492	364.3045567702077	365.95513411817853	372.80789962994874	376.65334058178826	405.6144419045506	384.2681541553122	421.621064751948	388.48025163786417	366.9145015531448	393.0515355967177	388.5754891143901	338.5514499750736	381.53080779241196	355.44044583020315	354.8276776619798	363.43698171679324	360.14977931091516	341.33495889774775	341.20139729953706	408.0505017360697	413.4491471481638	394.86323167163357	406.05427993268734	423.6877697084879	444.1578221781408	445.0993901350423	426.5886920805204	431.0611818324724	392.4400995602757	449.20428695004074	238.07451468243383	17.189299732950232	0.3436487236066668	0.0	0.0
12.51	0.0	0.0	290.9427183495449	413.4472122620843	395.7534144388799	394.1156884184494	367.03118939035755	368.05821543974923	361.2172513905885	358.84782355358834	430.7933521759589	439.48411463546233	393.9009029904568	377.8637074282742	429.52880106209113	406.4001151223955	374.5077142752206	362.9136391668884	348.2500442532269	378.4053561748816	345.16496791454796	373.55969588149475	353.4637045916708	350.4601676851367	380.6472648423851	397.07208469757563	404.10778530943804	419.2083022182958	415.1080947859633	448.5360247348382	488.5276143086979	425.48970976761296	417.09040674172826	410.44451515861533	386.69941585028107	220.17389684257984	17.457819135675315	0.13737119424732655	0.0	0.0
12.52	0.0	0.0	324.0124511063712	426.0643179350819	351.7764314538454	354.6572427973248	368.4486085999979	346.97858406367186	369.0862544446528	395.1872150928311	389.3538229870292	421.11413241577367	443.3870343873491	421.3120126492813	397.6167002196223	400.0810496647056	387.9292303825004	347.8660652412804	334.9323279839104	348.65393576390306	352.55700746724875	354.56933849075773	382.5997660543343	394.58818740307254	385.95892149442983	382.77511138165113	395.4964337890342	411.02645458917175	411.6611917355493	524.3648784312518	465.82300513915993	437.92806973787094	435.68526951505544	425.60875448608647	426.99478619557726	233.59841469266445	28.99563718984222	1.3169728035154022	0.0	0.0
12.53	0.0	0.0	315.7239838196467	462.96319881756955	365.3335959262798	355.7152666454056	378.32474225961397	355.151715226124	387.9824869406483	372.35858302557193	416.70970446183486	429.113228631108	392.765474782659	407.1559457752215	383.01585376528755	394.76755394998634	369.69019899614216	381.1208405679962	353.6613482932784	378.4246140138115	349.3189527998249	367.6738825639617	356.36793339385855	351.24860789263874	387.6265229318997	421.86223963732687	405.3495839334678	402.2968669917043	431.28450962313457	461.2480904621268	478.3644831067075	423.339119185905	420.59311014942256	454.0015582518705	412.33981002627644	245.99521685790066	20.003563548454505	0.07616818177004318	0.0	0.0
12.54	0.0	0.0	301.81808098054154	433.73255627616777	354.75442875599737	350.98196013221315	368.6616737146602	391.8448621508443	367.48117179985746	397.51624952829053	409.9376860122665	383.42675227053013	410.16540562625903	406.21310500457616	422.43468984746613	404.2060439122363	367.55684674143606	357.6296224774587	315.95257589785405	329.7235387521955	366.4874061568514	374.8762005034067	383.29337245121985	365.7924542731773	328.44679913730977	349.77977823344327	403.9833930127199	389.14788599888414	406.62756217010633	453.70855467148806	426.755509916384	418.3164101654334	394.4826552290344	405.1960904186366	415.164406959469	256.23020698928906	24.861060746913626	1.9095484011756694	0.0	0.0
12.55	0.0	0.0	296.90740597801476	390.6119436584848	358.94158489614813	398.915075157829	373.780164042862	385.57635333366716	364.33901665144185	387.66873794182646	382.9141806044228	416.05860334620746	400.8969962520721	425.69517051844804	429.96220375727097	371.9372884429448	357.69971322204276	375.81615910444634	372.6804026755932	379.44348941780265	347.30973327796534	327.4497556307319	372.62890208068274	362.8259466889061	345.5996809721813	399.1100900990118	387.1177933211051	398.23428372982085	441.62102876180734	493.66111886572173	423.2620643146447	382.93478516882107	402.330507568097	422.4978684433481	432.9613472655077	260.2983563328997	18.38395287374321	0.057631519802652076	0.0	0.0
12.56	0.0	0.0	345.43192349290814	412.97455382826973	390.5836008421319	403.97897614766464	370.1223618688345	372.2927360246275	372.40256758072286	409.2879740411681	420.8553224471861	426.88160466405895	412.09502469120775	437.93684299995135	383.2429466973787	367.1980042463107	375.81384954421264	386.8591500989185	375.1800358524669	335.15567755576444	400.2003359764143	371.3524130627126	354.9459522959642	374.8391429521022	357.14161060974806	387.9746843528102	432.31287523775194	418.63563046368347	430.2652675631863	461.01787375372726	437.12770221906163	398.5856578848051	384.74526545929416	408.4917802456759	459.7016109736554	324.60613316160624	25.197289573544392	4.064507169844918	0.0	0.0
12.57	0.0	0.0	327.16613474971695	440.24430727743345	387.13904639343116	355.71240516460284	352.56180714554426	391.40971405008594	397.8557533951047	399.9318094403384	388.2543516234938	365.8456012880099	403.8014129294125	395.84177100242823	417.91947410914406	358.65659616870374	373.38150419764895	379.2084840442854	388.2793019065452	352.7977796224558	340.9277206052292	381.6057128731113	383.6935834653787	404.01749442396545	378.18102544822415	415.23344062230564	412.282098064444	414.9847145583724	412.38174091722834	420.90071243824434	426.14892213644686	410.12563850368315	383.6758102638713	375.48501639506696	473.7004269743357	286.6999408897841	25.466085075327953	2.2107910071793686	0.0	0.0
12.58	0.0	0.0	303.8077031789159	430.2963235487464	412.19621333176235	374.2455523199269	342.72044892684556	363.1368669971129	384.09475707963304	347.81949158260574	390.94976132581075	395.75395872077274	393.3864048878182	439.27083013122996	428.18443976980024	392.03261034698136	368.0851763544924	402.0858978051635	372.47025269272797	364.48816804695775	383.540980028666	311.636061039916	355.5738039242576	358.47188691024024	419.006840149528	416.5350681516253	375.56245502369865	436.42741821926575	422.24816062612945	437.75861324046735	416.2316917741309	413.7306065378141	393.9400422500981	413.1833813307028	463.0077895775641	282.9201220104194	22.171363492591727	0.34496134105303955	0.0	0.0
12.59	0.0	0.0	250.78498166402596	385.65069607843276	371.3089046375533	400.7223336861865	377.9157182736523	372.6145292432171	379.3297814591308	383.7897755953673	400.01654974232116	394.87080860757726	400.03036696054124	412.94924020901806	407.37640115912717	399.14743095452894	397.99338817550404	413.3145385686345	379.99520288532	354.5663959063476	350.27369251609196	380.47667186584687	397.62219890626176	360.06381352412484	408.4289118220838	414.21913269855827	437.1551315711484	430.18585513169876	437.8798527601132	449.10025784920356	402.81199008960635	414.5854817037697	409.05225743889605	414.3270249792222	411.37093801801615	258.19646514051556	9.863370200036018	0.07348012422566264	0.0	0.0
12.6	0.0	0.0	295.0908946801133	398.6202460188762	392.59660802981796	363.0190132800613	364.9385386909842	365.0422902350613	409.9570807550949	405.4275564063479	388.5151018674717	411.96550622795917	401.56255747997113	418.89642743821935	377.42989189222914	422.42012638184565	419.599814532412	381.9654372638326	373.71288201818754	370.74267163943546	351.791137186197	354.43389238178844	378.0444613529743	353.12769330960424	393.73869014815637	418.2946790717628	395.2273095930781	431.2172987326616	420.4954598696405	462.88192330425903	437.2547175102132	423.101891289036	400.2556095055528	443.0904377034083	449.4198476589701	283.99080304326645	22.685245350904363	1.5139642115371885	0.0	0.0
12.61	0.0	0.0	305.388077564389	391.1481098926392	388.45779424566916	356.14931482083074	372.5376880892174	392.4600966419446	382.4387906178002	382.3922036690923	438.7930742834499	404.78900467104586	403.89993728314965	445.9316813739373	400.41160347101726	439.9466892596587	409.6452655466842	352.2037046185163	364.92632389451165	339.1086678146178	363.9059868984113	393.21228860098734	361.5229497554108	382.6144329256474	425.614223009113	414.16958211624285	385.37426768562676	413.83504781859074	455.7556291713448	466.6186073185922	445.0352319454777	446.5893950089283	406.6994512119939	469.1972546034057	412.84880023098935	252.41991376676964	25.44922072114234	2.223998159757609	0.0	0.0
12.62	0.0	0.0	311.72554218857454	432.67534227531667	429.29222551892707	377.1525363413224	402.3095886910322	410.7217030103393	399.9567902400437	417.9707726747184	432.83212710160575	399.6214225758333	448.4184565144834	476.33972734355217	399.2450366863868	389.9007161013066	410.4947579334692	376.85084982835514	374.0365550162685	348.5054354736051	397.9416482884514	379.6579438822901	378.8501483419182	371.27627142753335	410.24035888834055	416.4621575959873	399.3772830320725	397.7161884204504	437.5401235190568	470.7222425651909	427.7210303850571	429.5792154349925	392.9529756208538	402.6137379488948	424.6163215166608	297.33994437806456	28.62571726396083	0.24756933947925586	0.0	0.0
12.63	0.0	0.0	341.142479103025	413.34478414771445	437.2961491624789	353.76886095375255	361.7698711942462	356.2584859633825	399.0756990836684	385.89162730042267	380.5192937801167	420.2077822723193	395.11936078110546	419.4425323112545	429.92322094683476	398.59433615959483	395.56561175744116	360.9031712483601	350.06373610852734	396.2189160041475	371.1005074433164	366.91688258718943	363.64312774077865	373.8248311997605	358.4055634917384	389.52505364270854	386.27248911200365	421.5514498324042	466.962357401549	496.6933339097647	447.760835466866	404.2296088485192	421.7310688918632	449.55792771715977	401.97899317699057	267.98672528292894	27.48216149624561	0.0427245370482847	0.0	0.0
12.64	0.0	0.0	314.67090950882175	411.048793381163	419.58364215209986	385.8601989292839	382.1776326049204	371.666958183164	344.32470677135717	389.01690442011704	451.1976721890684	424.42109328173166	413.652381414083	415.76404512729846	417.15653998804044	407.17288302652366	417.54933185736473	361.20474592643114	387.1197752952198	391.6468747621276	417.7419911340107	381.49745506304095	354.50649854555627	418.6933853914618	360.0736715038401	374.69899673559934	393.59035143468805	392.1502283180459	497.1885932394231	488.9772696785297	413.07737817361163	417.55474289715914	415.3173288173325	425.3325145408725	429.7405764267694	285.70281128470015	27.063240845696605	0.634486860795566	0.0	0.0
