
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
4.71	0.0	-400.0	-607.5884237566049	-861.6705665412007	-1279.3429966325507	-1660.173389666907	-2030.7491794154773	-2420.103444838452	-2799.8016922562697	-3233.480154635101	-3632.7139384870857	-4048.8680408686632	-4434.71445603447	-4799.400585843609	-5237.036142808706	-5631.355382348106	-6058.9807596381615	-6415.575888594913	-6846.906210913283	-7239.501887647755	-7654.973604078967	-8073.37693826163	-8452.040349339986	-8857.700198183482	-9241.522402909788	-9612.872162077721	-10009.566359010345	-10395.383241036569	-10874.75342632903	-11231.519740481068	-11568.199107110073	-11984.000216084174	-12419.789454716576	-12809.390394038976	-13207.946287048286	-13841.477384173486	-14387.162857589956	-14799.686326664254	-15200.0	-15600.0
4.7	0.0	-400.0	-611.6389210687105	-859.9786936394822	-1231.302488491613	-1688.895835172647	-2052.4935201559174	-2454.1787840404704	-2846.012879758493	-3235.1289891471265	-3629.3593725924384	-4032.3476190935376	-4443.8714920296525	-4835.435908979449	-5205.892959243522	-5622.783170129232	-6063.104364341842	-6434.7390357440245	-6846.189837680661	-7233.439950953464	-7648.752774534723	-8052.098343547732	-8461.193894171705	-8857.765245327131	-9218.95964917915	-9654.425266478951	-10029.947543191098	-10423.472499280257	-10829.249211408416	-11252.150307145477	-11546.588843502142	-11955.844748963107	-12397.040518841994	-12812.731324162887	-13227.337176431156	-13808.596125651296	-14391.631412098202	-14798.615020436338	-15200.0	-15600.0
4.69	0.0	-400.0	-578.9916020708915	-847.8932310168711	-1252.1515862867489	-1639.5840357702468	-2041.4304110928815	-2441.4255925445377	-2851.6533668338207	-3202.0891030125845	-3637.739699702306	-4048.751562654253	-4410.06063732094	-4801.8158189337255	-5222.685941191305	-5627.184184232028	-6084.984142391737	-6461.997139335582	-6881.634836577981	-7313.685774473445	-7632.9673341303205	-8054.547202320071	-8418.404583734495	-8831.171565089116	-9247.42818929692	-9598.327230670977	-10007.101508809521	-10399.095025250917	-10796.005079350949	-11237.993037924296	-11579.095429231511	-11959.63475149135	-12375.989912385081	-12805.567626896118	-13232.765616932054	-13803.697118999136	-14393.011734870932	-14799.218449772894	-15200.0	-15600.0
4.68	0.0	-400.0	-582.5570131561956	-810.1406692094006	-1242.0878024337198	-1622.6991097075452	-2006.333231607085	-2422.380005939438	-2824.163370706288	-3271.454560886673	-3625.9730638131155	-4025.461482981241	-4419.661047277344	-4853.781096409636	-5234.437764729038	-5619.243693454029	-6018.112619534908	-6436.314907642686	-6889.482031079607	-7269.7824744416475	-7656.4790359867575	-8145.005195449064	-8483.998351821645	-8821.897022347563	-9211.878569493341	-9610.972657048067	-10001.958312969497	-10395.806418707516	-10840.533818400183	-11221.003633892906	-11572.989511684516	-11957.13398677898	-12365.443427869712	-12796.986800917308	-13191.150546780365	-13813.949310146405	-14387.353020439836	-14799.348618790415	-15200.0	-15600.0
4.67	0.0	-400.0	-586.4926505772797	-848.3181425512068	-1219.8755932979286	-1631.5482280791248	-2028.8104530194485	-2463.497527664285	-2835.7173502301007	-3224.8027780965035	-3627.262503577242	-4030.1408883881963	-4455.681140031731	-4813.183922588836	-5216.174576897663	-5585.238910144024	-6050.369196135104	-6439.577124079404	-6837.572673772358	-7270.895071421174	-7679.131303435388	-8038.981056179606	-8453.08571339984	-8842.12738614413	-9212.886526745135	-9660.618356021445	-10035.095656197633	-10430.384778871414	-10802.396862097146	-11191.746807028938	-11515.923973756528	-11977.145377496503	-12386.918264823134	-12817.994834655217	-13233.91213311682	-13825.056995652933	-14386.273117564315	-14798.48995393123	-15200.0	-15600.0
4.66	0.0	-400.0	-580.7046949891355	-840.209810735878	-1248.2319332680877	-1666.9815986327808	-2052.3548367514413	-2448.6286842713916	-2846.347652648117	-3245.7599322930455	-3605.0249388166385	-3994.869814645722	-4405.061562423715	-4785.632479259003	-5225.883489116181	-5612.987282553785	-6050.694155604375	-6439.6011178838935	-6858.661729036574	-7238.215653138885	-7642.021983986834	-8069.324569116298	-8436.576693207124	-8821.454160752035	-9237.352082585372	-9615.96079240893	-10023.344332785467	-10423.533859343957	-10816.746797122398	-11198.136157396235	-11575.890435745441	-11975.51637086963	-12385.216315148056	-12787.00142530788	-13173.681960609778	-13821.529882560393	-14389.593933935234	-14799.385091644237	-15200.0	-15600.0
4.65	0.0	-400.0	-609.6121384855305	-866.8950495128869	-1306.3895772511182	-1663.3729859689988	-2031.6736085011576	-2404.0530530573387	-2852.9529043627067	-3239.629888972706	-3636.301015242703	-4017.6076960225714	-4411.834592475017	-4826.247464922116	-5236.100945381731	-5601.580601220212	-6015.749855104576	-6424.895904305282	-6858.307209053525	-7272.097478955396	-7677.868760927903	-8057.340249363198	-8444.128753895162	-8873.405276506797	-9226.7930637205	-9616.021093243036	-10021.642687108864	-10431.074274345792	-10807.772536351245	-11209.277336089772	-11599.032264841973	-11987.51617111077	-12380.560404216409	-12790.811732263714	-13217.60002857345	-13834.529204462484	-14392.928428539364	-14799.968051110305	-15200.0	-15600.0
4.64	0.0	-400.0	-576.8429820651437	-842.0927413360374	-1241.974075051277	-1643.359541810835	-2044.7531949206036	-2418.2976818216302	-2845.296483184862	-3237.673422041426	-3585.060082484709	-4022.4950980623667	-4426.279161985476	-4824.6168524795385	-5217.413927603206	-5673.786006844251	-6055.28378560309	-6446.234978396789	-6812.879494668192	-7241.444262208473	-7653.782577874017	-8058.480292478468	-8452.981498988122	-8838.797977934522	-9245.719596337942	-9605.35598073556	-10048.778770116716	-10436.694791657384	-10828.13697126089	-11221.335463556514	-11583.338561829178	-11939.127400856873	-12371.504704771143	-12789.055016148253	-13203.260004943613	-13804.345158772776	-14393.449924900817	-14799.673363701515	-15200.0	-15600.0
4.63	0.0	-400.0	-586.997944818811	-813.5839161497922	-1283.1826539393564	-1691.3092866499612	-2023.85717170437	-2416.8190199477244	-2849.0518462137397	-3243.7252282936506	-3648.0523965824946	-3998.1001696011726	-4401.804455713478	-4774.338701888855	-5232.290511526411	-5623.001563659129	-6049.701533740656	-6476.968420751468	-6864.369239618896	-7272.005856418167	-7672.0342248217885	-8077.912909020962	-8487.78375267141	-8872.15729734714	-9209.667156056228	-9634.29590299751	-10025.706660126263	-10393.11693395222	-10810.650287980303	-11217.722938357349	-11536.771743685958	-11941.806483422271	-12385.130486494185	-12786.052652148537	-13196.199194641002	-13801.99104997761	-14389.217664142543	-14799.532545515254	-15200.0	-15600.0
4.62	0.0	-400.0	-558.6341838571711	-852.8958855595176	-1224.1670352181495	-1664.8676458682612	-2034.512212527683	-2445.3322778567735	-2806.8432983417256	-3169.516489641122	-3623.6078711020787	-4033.730861791613	-4441.457513316478	-4823.570471113356	-5208.956581794468	-5596.4999638603	-6046.86390311479	-6429.667154224834	-6828.865285678633	-7256.478806480153	-7657.9918951500185	-8041.206172905463	-8473.297762341346	-8856.26707025774	-9257.787862206926	-9630.863679858301	-10008.168964920571	-10373.405997900034	-10829.009875002039	-11209.094344449872	-11563.74511594572	-11976.461768597588	-12384.26051611235	-12820.841671698112	-13183.00906917549	-13807.867495025845	-14389.700101640326	-14797.382149313922	-15200.0	-15600.0
4.61	0.0	-400.0	-551.7718909300161	-822.5992646662854	-1188.2399305864908	-1644.6276164036317	-2026.7757155515023	-2449.474593913321	-2830.826088310326	-3201.989627844025	-3642.7227997353725	-4026.446197853243	-4413.771532480018	-4817.908548406435	-5241.150702439381	-5619.608040029073	-6022.504681981985	-6483.158822421354	-6861.435197610654	-7232.569266065114	-7631.744697723961	-8056.0772288966855	-8455.064668843303	-8849.110621263586	-9241.46890154724	-9639.588503635676	-10021.244272257929	-10406.043625281092	-10815.70452177318	-11145.951263267536	-11554.97509341702	-11973.604161503234	-12379.35467514555	-12825.008950636773	-13212.014061021215	-13821.317026300741	-14391.968422844613	-14799.104588285287	-15200.0	-15600.0
4.6	0.0	-400.0	-557.6692696035175	-812.4281558209013	-1223.9581572252966	-1647.667314567876	-2006.2171938475321	-2370.612286684153	-2836.749403773954	-3192.829418542715	-3644.992731261869	-4027.9511897269476	-4380.3371964796515	-4784.022026217326	-5203.483923018364	-5637.003725980733	-6048.380511749681	-6459.214774874921	-6869.2294122881085	-7249.717874243069	-7676.383035910776	-8074.833391401178	-8475.441152019519	-8858.953920199132	-9197.294063531572	-9617.955361921115	-10045.282326077424	-10405.592541003376	-10813.333311507406	-11165.477561751466	-11526.354041615721	-11968.176668819886	-12333.276181681857	-12819.184758717694	-13196.505869474078	-13802.498690477325	-14385.13807940557	-14799.60816803046	-15200.0	-15600.0
4.59	0.0	-400.0	-568.414310795532	-822.7732216511461	-1222.6212839537534	-1657.258562320911	-2017.1467887507429	-2456.9221526670567	-2871.3402362370516	-3233.549855715311	-3621.2913576678884	-4006.485621424325	-4462.205581368278	-4827.458078455112	-5248.430269907108	-5668.0257938433715	-6051.135786356328	-6478.969137132783	-6881.104899303331	-7243.473868261451	-7629.363762539446	-8034.232248700384	-8440.598885332442	-8849.470447416175	-9275.787927904143	-9624.69555561581	-10008.456609421473	-10424.950678307036	-10817.107352558602	-11162.72773004604	-11560.241553058155	-11959.8946650303	-12398.654914161183	-12805.049000976916	-13227.579549746972	-13787.156491940952	-14381.486753675827	-14799.778589985872	-15200.0	-15600.0
4.58	0.0	-400.0	-543.7067592973642	-842.2253761155791	-1253.9998292972125	-1622.7436054997677	-2037.5801225960083	-2400.455309879949	-2833.060412986905	-3237.7153676558987	-3636.879871739703	-3991.9202987746703	-4419.950642912078	-4844.8654242017565	-5196.737445528921	-5630.574337677588	-5996.165648982439	-6471.38579188776	-6836.511323141022	-7281.980158264322	-7665.628321796868	-8023.80536173894	-8414.50265765294	-8872.812457355996	-9237.459145464767	-9660.855219646834	-10010.905286718295	-10397.072099879675	-10832.81518859721	-11144.726112339795	-11527.887871635081	-11993.793263722388	-12396.443175103683	-12787.854481064001	-13181.100184266648	-13811.022413191045	-14382.37302651176	-14798.62303244154	-15200.0	-15600.0
4.57	0.0	-400.0	-553.7057591210723	-828.3628250568129	-1229.8379621080885	-1660.1361578714482	-2065.746398483157	-2471.453981546912	-2843.837123199693	-3213.5927131737694	-3665.7512226936137	-4041.9445676930723	-4390.09590451771	-4816.855535258806	-5240.55831651765	-5657.476334186945	-6029.307212555032	-6461.967706518637	-6806.344850203838	-7249.881231526815	-7630.238577479358	-8023.335619056883	-8424.550670344232	-8818.530319782809	-9177.461040667375	-9644.025104582794	-9997.165761592874	-10422.099730319513	-10812.323061779196	-11151.95579139834	-11531.307975467598	-11952.228153071237	-12388.42955108342	-12814.450707598005	-13179.342146397561	-13772.894015482161	-14380.395805675136	-14798.992639088072	-15200.0	-15600.0
4.56	0.0	-400.0	-530.0731032678326	-846.344654273921	-1298.1633181122547	-1644.3969693520799	-2048.747757040466	-2441.965753042288	-2868.977226500788	-3217.457327282534	-3605.5314096526945	-4029.2095055217824	-4399.5889746696585	-4807.005966566279	-5225.731212667959	-5606.599975828799	-6042.733352426635	-6453.105051677155	-6802.278851741641	-7266.365362821532	-7648.059084671227	-8006.048327862718	-8436.020781422076	-8807.766849288033	-9247.139098989508	-9651.055276647854	-10026.118711674582	-10407.41496148623	-10828.665261532811	-11154.075432041736	-11570.176108833839	-12004.126586852859	-12391.61200862139	-12725.483356803827	-13218.503330376554	-13814.877201470897	-14386.658607050602	-14799.799957145953	-15200.0	-15600.0
4.55	0.0	-400.0	-513.3758297789985	-830.8917593057758	-1261.721785294158	-1647.553505736124	-2028.823872904376	-2417.7096312624876	-2848.594117011886	-3179.625197759301	-3643.371547668914	-4025.8392374854957	-4372.979493376466	-4834.5964995468785	-5196.484135719583	-5591.523280921258	-6025.128788948201	-6434.705064679931	-6846.835708443395	-7237.12814135344	-7614.094871687117	-8016.031532750087	-8457.069466876144	-8819.945905851784	-9247.223559216409	-9625.682199605188	-9981.376157517952	-10435.287033486655	-10808.748072139899	-11155.408902883397	-11537.381585063315	-11971.600210241177	-12413.17417390222	-12770.378250081785	-13185.865117400579	-13768.819372286436	-14384.25095538383	-14800.0	-15200.0	-15600.0
4.54	0.0	-400.0	-540.2366220926145	-773.8651594288949	-1247.6796621660674	-1636.4971468954775	-2019.5500144803373	-2425.5338793527794	-2778.699281933216	-3235.7502215257637	-3587.002558416474	-4045.9137494602705	-4389.448223948092	-4803.201442391562	-5224.752528968301	-5650.999803931604	-6076.661799246979	-6451.057098858829	-6869.955400241096	-7270.858297124147	-7637.628979431876	-8006.166146075497	-8429.722921707706	-8806.434248219453	-9192.23451142877	-9615.585588271342	-9991.916832155091	-10406.449650447941	-10784.072565924545	-11129.988250576873	-11579.719396402103	-11985.103350379053	-12382.909972060812	-12817.107734954829	-13213.784506690356	-13758.013791195332	-14383.939761600823	-14797.653983977823	-15200.0	-15600.0
4.53	0.0	-400.0	-516.568254760516	-836.3825423573026	-1259.698795117182	-1627.2838657202615	-2056.1935352982437	-2413.187551523329	-2839.387068552749	-3254.64684021343	-3620.916180018501	-4028.7539814203533	-4407.645066367299	-4827.803572681866	-5227.389687291635	-5614.7072879537045	-6092.169042532103	-6464.663694380681	-6821.4269597841085	-7241.896110890484	-7614.3647845519845	-7997.31460591712	-8424.374459355206	-8824.3060501243	-9219.90206877676	-9564.154662998633	-10009.27466103495	-10370.215484257704	-10781.508326974985	-11167.09277560847	-11525.827178799971	-12004.555657417888	-12364.245804244189	-12771.853246776196	-13146.118845563515	-13754.892558444213	-14391.516476915549	-14796.238526640202	-15200.0	-15600.0
4.52	0.0	-400.0	-552.7097251113605	-851.316587602566	-1206.6383020086364	-1639.8717901532293	-2030.1820907496713	-2409.300360735968	-2827.604572538822	-3257.1150957961127	-3618.839701507107	-4053.5065201557177	-4393.177211076105	-4770.361156249555	-5190.827351764164	-5640.021225446613	-6035.177283053905	-6469.972880514259	-6833.419591189154	-7239.998689022206	-7637.660126504324	-8075.558484446553	-8422.184625185317	-8818.415199715337	-9236.18921218478	-9611.941602287025	-9995.858333534066	-10406.388041626755	-10796.160075397047	-11139.822960668924	-11574.75962810334	-11965.101797490175	-12380.79890197687	-12810.670799036177	-13169.49888348138	-13750.047830186977	-14382.90531332839	-14797.949749483456	-15200.0	-15600.0
4.51	0.0	-400.0	-519.2814530091455	-827.3907540934481	-1226.4183320957357	-1634.1119212916578	-2055.4152468981424	-2421.7714841150414	-2831.719221505159	-3237.391787930458	-3620.8955852472905	-4019.419442950013	-4420.7839126525405	-4806.056549291567	-5194.189179491855	-5609.340714278615	-6046.184654762953	-6456.766648108788	-6844.885498551285	-7251.417486262094	-7643.533792187825	-8038.606177775521	-8453.464217176199	-8832.216316582244	-9221.47878087496	-9592.893971055697	-9999.99084281579	-10377.230574043553	-10799.073331132166	-11128.279288047817	-11551.641929020374	-11988.13917319697	-12367.292800900677	-12824.86581451844	-13219.578869533165	-13760.117536432474	-14384.30385975656	-14797.343136268186	-15200.0	-15600.0
4.5	0.0	-400.0	-519.7271537335625	-828.6156255806266	-1217.7478547211508	-1635.6954432297923	-2034.0448658818214	-2427.1921003700513	-2823.346659418212	-3194.3855580954496	-3615.731845844688	-3978.378935248052	-4411.519748362136	-4833.085498446855	-5206.948464403282	-5611.42451088561	-6061.448550024927	-6418.469192207588	-6844.559554169797	-7245.17232233802	-7636.5630182832065	-8039.850220689084	-8458.665041102253	-8858.798602700463	-9191.94949826393	-9586.550852851837	-10005.136768328366	-10393.945720067313	-10776.312230291513	-11155.84217782186	-11554.900609864957	-11973.41130791948	-12368.938818167528	-12807.559900439725	-13150.79571304996	-13761.925485317566	-14382.81070026705	-14799.656351276393	-15200.0	-15600.0
4.49	0.0	-400.0	-509.0572816504551	-786.5527877379157	-1204.2465855611201	-1605.8843115815507	-2032.9688106096423	-2431.9417845602507	-2838.7827486094116	-3241.1521764464114	-3569.2066478240413	-3960.5158853645376	-4406.099097009544	-4822.136292571726	-5170.471198937908	-5593.599884877604	-6025.492285724779	-6437.086360833112	-6851.749955746773	-7221.5946438251185	-7654.835032085452	-8026.440304118505	-8446.536295408328	-8849.539832314864	-9219.352735157616	-9602.927915302424	-9995.892214690562	-10380.791697781704	-10784.891905214037	-11151.463975265162	-11511.472385691302	-11974.510290232387	-12382.909593258271	-12789.555484841385	-13213.30058414972	-13779.82610315742	-14382.542180864324	-14799.862628805753	-15200.0	-15600.0
4.48	0.0	-400.0	-475.9875488936288	-773.9356820649182	-1248.2235685461546	-1645.3427572026753	-2031.551391400002	-2453.021415936328	-2830.9137455553473	-3204.812784907169	-3610.646177012971	-3978.885867584226	-4356.61296561265	-4778.687987350719	-5202.3832997803775	-5599.9189503352945	-6012.0707696174995	-6452.13393475872	-6865.06767201609	-7251.346064236097	-7647.442992532751	-8045.430661509242	-8417.400233945666	-8805.411812596927	-9214.04107850557	-9617.22488861835	-10004.503566210966	-10388.973545410829	-10788.33880826445	-11075.635121568748	-11534.17699486084	-11962.07193026213	-12364.314730484944	-12774.391245513914	-13173.005213804423	-13766.401585307336	-14371.004362810158	-14798.683027196485	-15200.0	-15600.0
4.47	0.0	-400.0	-484.2760161803533	-737.0368011824305	-1234.66640407372	-1644.2847333545944	-2021.675257740386	-2444.848284773876	-2812.0175130593516	-3227.641416974428	-3583.290295538165	-3970.886771368892	-4407.234525217341	-4792.844054224778	-5216.984146234712	-5605.232446050014	-6030.3098010038575	-6418.879159432004	-6846.338651706722	-7221.575385986189	-7650.681047200175	-8032.326117436039	-8443.632066606142	-8848.75139210736	-9212.3734770681	-9578.137760362673	-9994.650416066532	-10397.703133008295	-10768.715490376866	-11138.751909537874	-11521.635516893293	-11976.660880814095	-12379.406889850577	-12745.99844174813	-13187.660189973723	-13754.0047831421	-14379.996436451545	-14799.92383181823	-15200.0	-15600.0
4.46	0.0	-400.0	-498.18191901945846	-766.2674437238322	-1245.2455712440026	-1649.018039867787	-2031.33832628534	-2408.155137849156	-2832.5188282001427	-3202.4837504717093	-3590.0623139877334	-4016.57324772947	-4389.834594373741	-4793.786894995424	-5177.565310152534	-5595.793956087764	-6032.443153258564	-6442.370377522541	-6884.047424102146	-7270.276461247804	-7633.512593843148	-8025.123799496593	-8416.70662754878	-8834.207545726822	-9271.55320086269	-9650.220221766556	-9996.01660698728	-10410.852114001116	-10793.372437829894	-11146.291445328512	-11573.244490083616	-11981.683589834567	-12405.517344770966	-12794.803909581364	-13184.83559304053	-13743.769793010712	-14375.138939253085	-14798.090451598824	-15200.0	-15600.0
4.45	0.0	-400.0	-503.09259402198524	-809.3880563415153	-1241.058415103852	-1601.084924842171	-2026.219835957138	-2414.423646666333	-2835.660983348558	-3212.3312620581737	-3617.0858193955773	-3983.9413966537927	-4399.103003747928	-4774.304829481552	-5170.037796242729	-5628.062711557055	-6042.300286777957	-6424.183840895554	-6827.3195973244065	-7220.556510582197	-7652.690266722035	-8072.5502443692685	-8427.371097919317	-8837.174053311093	-9254.400319027818	-9600.889909900989	-10012.882206678894	-10401.76571627018	-10758.378971238193	-11106.338881134277	-11576.737935685356	-12017.065214831178	-12397.669492431904	-12777.502131556652	-13167.038652734493	-13739.7016436671	-14381.616047126257	-14799.942368480197	-15200.0	-15600.0
4.44	0.0	-400.0	-454.56807650709186	-787.0254461717302	-1209.416399157868	-1596.0210238523355	-2029.8776381311654	-2427.7072639753724	-2827.597432419277	-3190.712025958832	-3579.144677552814	-3973.118395335941	-4387.904975308792	-4762.063157000049	-5216.757053302621	-5632.801995753689	-6024.186150455787	-6413.140849901081	-6824.819964147533	-7264.844322444235	-7599.799664023586	-8028.647586937287	-8445.054047704036	-8825.160857047898	-9242.858389390252	-9612.02531564719	-9967.687124762248	-10381.364369536317	-10769.734732436813	-11138.982126246272	-11562.872297780938	-12001.414342115195	-12415.254734540706	-12791.508219754323	-13140.298389026344	-13675.393866838394	-14374.802710426455	-14795.935492830155	-15200.0	-15600.0
4.43	0.0	-400.0	-472.83386525028305	-759.7556927225666	-1212.8609536065687	-1644.2875948353972	-2047.4381928544558	-2408.5902859499142	-2802.144246604895	-3200.0681905596616	-3611.7456483765063	-4034.1543987119903	-4396.198587070588	-4804.158228997572	-5182.080525890856	-5641.343403831296	-6026.618495802351	-6420.791515955714	-6811.720698093455	-7247.202220377544	-7659.072279394771	-8018.394287126888	-8416.30641653462	-8795.982505576034	-9221.818974551776	-9584.766559377695	-9987.717901935555	-10385.015285441628	-10787.618259082772	-11179.099287561756	-11573.851077863554	-11989.874361496317	-12416.32418973613	-12824.514983604933	-13126.299573025664	-13713.300059110215	-14374.533914924672	-14797.789208992821	-15200.0	-15600.0
4.42	0.0	-400.0	-496.1922968210841	-769.7036764512536	-1187.8037866682375	-1625.754447680073	-2057.2795510731544	-2436.863133002887	-2815.905242920367	-3252.1805084173943	-3609.050238674189	-4004.246041279227	-4406.613595112181	-4760.72916986877	-5171.8155602301995	-5607.9673896530185	-6031.914823645508	-6397.914102194836	-6827.529747307272	-7235.511831953042	-7616.459019971334	-8088.363938960084	-8444.426196075743	-8841.52811308976	-9180.993159850472	-9583.464931848375	-10024.437544976301	-10363.572581780734	-10777.75183937387	-11162.241386759533	-11583.76830822587	-11986.269393462186	-12406.059957749902	-12786.816618669298	-13136.992210422435	-13717.079877989581	-14377.82863650741	-14799.655038658946	-15200.0	-15600.0
4.41	0.0	-400.0	-549.215018335974	-814.3493039215673	-1228.6910953624467	-1599.2776663138134	-2022.0842817263476	-2427.385470756783	-2820.6702185408694	-3216.2102244046328	-3599.9834502576787	-4005.129191392423	-4399.969633039459	-4787.050759790982	-5192.623598840873	-5600.852569045471	-6002.006611824496	-6386.685461431365	-6820.00479711468	-7245.433604093652	-7649.726307483908	-8019.523328134153	-8402.377801093739	-8839.936186475876	-9191.571088177916	-9585.780867301442	-9962.844868428852	-10369.814144868302	-10762.120147239886	-11150.899742150796	-11597.188009910393	-11985.414518296231	-12390.947742561104	-12785.672975020778	-13188.629061981985	-13741.803534859484	-14390.136629799965	-14799.926519875775	-15200.0	-15600.0
4.4	0.0	-400.0	-504.9091053198867	-801.3797539811238	-1207.403391970182	-1636.9809867199388	-2035.0614613090158	-2434.957709764939	-2790.042919244905	-3194.572443593652	-3611.4848981325285	-3988.034493772041	-4398.4374425200285	-4781.10357256178	-5222.5701081077705	-5577.579873618154	-5980.400185467588	-6418.034562736168	-6826.287117981812	-7229.257328360564	-7648.208862813803	-8045.566107618211	-8421.955538647026	-8846.872306690395	-9206.261309851843	-9581.705320928237	-10004.772690406922	-10368.782701267339	-10779.50454013036	-11137.11807669574	-11562.745282489786	-11976.898108710964	-12399.744390494447	-12756.909562296592	-13150.58015234103	-13716.009196956733	-14377.314754649096	-14798.486035788463	-15200.0	-15600.0
